name,ans
 29.芮特,0
 3.,0
 5,0
 7.旺宏,0
 A. K. Nema ,0
 Becky Liu ,0
 Christian Sewing ,1
 Daly ,1
 David Reich ,1
 Ewen Stevenson ,1
 Eyal Itkin ,1
 Frances Cheung ,1
 Georg Chmiel ,0
 Ibrahim Balic ,1
 James von ,0
 Jim Bianco ,0
 John Flint ,1
 Jr,0
 Mark Tucker ,0
 Mark Zuckerberg ,0
 Paul Schulte ,0
 Quarles,0
 RE100,0
 Robert Downey,1
 Rui Oliveira ,0
 Ruth Porat ,0
 Sharnie Wong ,1
 Sri Kodriawati ,0
 Sundar Pichai ,0
 Thomas Miao,0
 Tom Patrick,0
 Werner Steinmueller ,1
 台揚,0
 岡拉克,0
 溫燕,0
 潘威佑,1
 紅磡,1
 華,0
 葵芳,1
 觀塘,0
108年度,0
11.柏文,0
Abiy Ahmed,1
Alan Turing,1
Alberto Fernandez,0
Allan Xia,1
Alphabet ,1
Amie Keeley,1
Anderson,1
André Malraux,0
Ann,0
Bao Ninh,0
Bianco ,1
Blind,1
Boris Johnson,1
Chea Saren,1
Chonlawit Kitatrakul,1
Claudio Zanao,1
Colin Lucas,0
Cristina Fernandez de Kirchner,1
Daniel Zhao,1
David Holmes,1
Dechie,1
Dennis Muilenburg,0
Deserie Castro Tagubasi,0
Digna Tagubasi,0
Duchess of Sussex,0
Emma Coulthurst,0
Eyal Itkin,1
Filippo Grandi,1
Gary Peters,0
Geir Lundestad,0
Godfrey,0
Graham Greene）,1
Grant Shapps,0
Greta Thunberg,0
Haim Israel,0
Harry Martin,0
Hung Cheng Yi,1
Hunter Biden,0
Ibrahim Balic ,1
Jaranwit,1
Jasper,1
Jeffrey Gundlach,0
Jerome Powell,0
Jessica Rosenworcel,1
J卡,0
KY,0
Keanna,1
Kiwi,1
Leander Kahney,0
Leon,0
Luigi Zingales,0
Lulu,0
Mani,0
Mar-a-Lago,0
Mariano Leotta,1
Mario Draghi,0
Mario Vargas Llosa,0
Martha Gimbel,1
Matthew Evans,1
Mauricio Macri,0
