name,ans
  百德,0
 3.,0
 5,0
 Ajit Pai ,1
 Asif Ibrahim ,0
 CEO Harald Krueger ,0
 Carlos Ghosn ,0
 Christian Lee,0
 Ian Beer ,0
 J 卡,0
 Kratsios ,1
 Larry Page ,0
 MacroPolo ,1
 Roger Severino ,0
 Sergey Brin ,1
 Simon Chen ,0
 Sundar Pichai ,0
 Tom Coates ,0
 ▶ ,0
 呂少威,1
 嘉楠耘智,1
 大同,0
 川普,0
 特朗普,0
 田村隆幸 ,1
 紅磡,1
 葵芳,1
 蘭桂坊,1
 觀塘,0
 遠藤仁 ,1
 陶冉,0
 魯西歐,0
Amarinder Singh,1
Ann,0
Anthon Charmig,1
Anthony Rapp,0
Antonio Lucio,1
Array,1
Bart Sano,0
Ben Bernanke,0
Brendt Christensen,1
Brian Krzanich,0
Carlos Ghosn,0
Charlie Warzel,1
Charmig,1
Chen 'Charlley' Zhao,1
Danny Alexander,1
Dion Weisler,1
Donald L. Ferrin,0
Donald Trump,0
Donald Tusk,0
Dr. Lisa Su,1
Emma Revie,1
Emmy,0
Enrique Lores,1
Evelyn Beatríz Hernández,1
Facebook ,0
Fidelidade ,1
Frank Underwood,0
Hans Block,1
Harvey Weinstein,0
Heather Unruh,1
Herbert Diess ,1
Hongjin Tan,1
Irene Knapp,1
Jack Smith,0
James Burke,0
Jen Frazer,1
Jennifer Hyman,1
Jerome Powell,0
John Bolton,1
John Demers,1
Justin Trudeau,1
KY,0
KY宸鴻,1
Katharine Graham,1
Keith,1
Klaus Iohannis,0
Kolas,0
Kolas Yotaka,0
Let Me Be Frank,0
Louis,0
Marc Benioff,0
Mary Barra,1
Masa,0
Michael Kratsios ,1
Michael R. Pompeo,0
Mick Mulvaney,0
Moritz Riesewieck,0
NA ,0
Nanak,1
Neha Sharma,0
Nicholas Smith,0
PO文,0
PatrickShyu,1
Peter Ratcliffe,0
PewDiePie,0
PewDiePie ,0
President Nixon）,1
Ray,0
Raymond Greene,1
Rick Bergman,0
Robert Swan,1
Samoa,1
Schumer,0
Seven Dreamers,1
Shobhit Gupta,1
Shyu,1
Sir Peter J. Ratcliffe,0
Sole,0
Sonia,0
Sri,0
Tasuku Honjo,0
Terry,0
Thomas Cook,0
Tim Cook,0
Tran Vy,1
Travis Kalanick,1
Trent Shores,1
Varlitinib ,1
Vitaly Kamuk,1
Wccftech,1
William G. Kaelin Jr,0
William Kaelin,0
Yeh Ching Wei,1
Yu Pingan,1
Y座,0
facebook,0
　佐臻,0
。文,0
。莊,0
丁噹,0
三谷,0
上海仔,0
九巴,0
乾,0
于平安,1
于楊,0
于正,0
亨特,0
以利柯P,0
任之恒,1
伊歐漢尼斯,0
伍啟睿,1
伍家揚,1
伍瑋謙,1
伯克,0
佐臻,0
何,0
何培才,1
何宗原,1
何建功,1
何慶生,1
何松澤,1
何梓聰,1
何淑琳,1
何湯雄,1
何潤勝,1
何語,0
余,0
余俊亮,1
余天,0
余天同,1
余若薇,1
佳聯元朗門,0
佳龍,0
侯,0
侯佩岑,1
侯倬倫,1
侯友宜,1
侯彩琳,1
俞官興,1
傅春生,1
傅涉,0
傅許,0
傑克森洞,1
傑克．史密斯,0
傑志,0
傑星,0
光禹,1
克拉維斯,1
克里斯滕森,0
公布港,0
冠忠南區,1
凱文史貝西,0
凱林,0
凱瑟琳．葛蘭姆,1
判莊,0
判魯,0
利雅華,1
劉,0
劉中惠,1
劉佳倫,1
劉吉雄,1
劉君正,1
劉咸昌,1
劉威甫,1
劉家喬,1
劉寅娜,1
劉帥,0
劉帥北漂,0
劉康彥,1
劉彥良,1
劉德音,1
劉惠宗,1
劉愛華,1
劉慶侯,1
劉慶珠,1
劉文文,1
劉新正,1
劉昊然,1
劉昌松,1
劉柏祺,1
劉濱銓,1
劉皇發,1
劉結一,0
劉肇邦,1
劉若英,1
加藤鷹,0
勞敏儀,1
匿名,0
千金綦,0
卓榮泰,1
卓永財,1
南丁格爾,1
南華,1
博爾頓,0
卡姆克,0
卡尼,0
卡拉尼克,0
卡爾塔普,0
卡瓦納,0
卡瓦納（James Kavanaugh,0
古,0
古普塔,0
台灣華懋,1
台玉,0
史維,0
史諾登,0
史貝西,0
吉尼．蘿密,0
吉田淳,1
君君,1
吳,0
吳京,0
吳佩慈,1
吳俊賢,1
吳傳輝,1
吳勝利,1
吳吞,0
吳坤錦,1
吳奕靖,1
吳女,0
吳威志,1
吳子嘉,1
吳宗憲,1
吳宗榮,1
吳宣儀,1
吳寶春,1
吳左右,0
吳忌寒,0
吳怡昌,1
吳慶輝,1
吳成,0
吳敦義,1
吳文,0
吳文明,1
吳斯懷,1
吳昇儒,1
吳景明,1
吳東明,1
吳清源,1
吳琪銘,1
吳男,0
吳當傑,1
吳秉叡,1
吳釗燮,1
呂,0
呂孫綾,1
呂宋,0
呂宗南,1
呂建安,1
呂東英,1
呂秀蓮,1
呂秉權,1
周,0
周一亞股,0
周一公布,0
周三特,0
周剛,0
周四復課,0
周川普,0
周延龍,1
周敏鴻,1
周杰倫,1
周男,0
周科大,1
周繼祥,1
周麗真,1
哈孝遠,1
哈維．韋恩斯坦,0
唐,0
唐從聖,1
唐曉峰,1
唐納．費倫,0
唐詠絮,1
唐鳳,0
商億京,0
商台,0
喬 毛姆,0
喬安娜 切里,1
嘉楠耘智,1
嘉院聰家恩,1
