name,ans
  ◎傑生,1
  ◎昇銳,1
  ◎柏登,0
  ◎竹陞,1
  ◎雅茗,1
 2387,0
 3.,0
 4,0
 Adam Neumann ,1
 Art Hogan  ,0
 Artie Minson ,1
 Ashutosh Khajuria ,1
 Ben Seri ,0
 Brett King ,0
 Cesar Rojas ,0
 David Marcus ,0
 FBI ,0
 Georg Chmiel ,0
 Hugo Wyler ,0
 Ibrahim Balic ,1
 Jang Sung,1
 John Preskill ,0
 Josh Gottheimer ,0
 Mark Zandi ,0
 Mekong,1
 Michael Gapen ,0
 Mick Mulvaney ,0
 Mike Grover ,0
 Mike Stuart ,0
 Mustafa Suleyman ,1
 Patrick Brenner ,0
 Patrick McHenry ,1
 RE100,0
 Ryan Nauman  ,0
 Saurabh Mukherjea ,0
 Shehzad Qazi ,1
 Sonny Perdue ,0
 Stuart Haselden ,1
 Sumit Bali ,0
 jil,1
 ▶ ,0
 優步,0
 卡拉尼克,0
 台開,0
 史葛,0
 大同,0
 威盛,1
 正宮,0
 潘威佑,1
 田村隆,1
 遠藤仁 ,1
1786 科妍,0
AJ ,1
Ajit Pai,1
Alberto Fernandez,0
Andrew Hunter,1
Azad Zangana,1
Azure Sentinel ,0
Bennett Greenspan,0
Bernstein ,0
Bill Blain,0
Carlos Ghosn,0
Charlie Warzel,1
Cho Yang-ho,0
Christina Maslach,1
Churl ,0
CloudKitchens,1
Cristina Fernandez de Kirchner,1
David Heinemeier Hansson,1
DeepMind ,1
Demis Hassabis,1
Dennis Muilenburg,0
Dilip Ratha,1
Dimitrij Ovtcharov,1
Donald Tusk,0
Duncan Lewis,1
Ewen Stevenson,1
Facebook,0
Frank Gill,0
Gapjil ,1
Godfrey,0
Gordon Loesch,0
Grace,0
Greg Autry,0
Harald Krueger,0
Hassabis ,0
Huizenga ,1
Ibrahim Balic ,1
Jack Dorsey,0
James McCormack,0
James Olsen,0
Jerome Powell,0
Jim Hackett,0
Jim Richberg,1
John Flint,1
Jong Woo Son,1
Joy Kyakwita,0
KY,0
Karen,1
Key,0
Kinneir Dufort,1
Kolas,0
Larry Kudlow,0
Linda Lacewell,1
Mani,0
Manny Ramirez,1
Marcus ,0
Mark McEwan,0
Mauricio Macri,0
Max Ludlow,0
Michael P. Leiter,0
Minoru Hanamura,1
Mustafa Suleyman,1
Mustafa Suleyman ,1
Nathaniel Gleicher,1
Neumann ,1
Nicholas Hayden,0
Noel Quinn,0
Oliveira ,0
Pedro Oliveira ,0
Peter Navarro,1
Philip Howard,0
Philip Quade,0
Pierre,0
Pierre劍,0
Rana Gupta,1
Randy First,1
Richard Gratkowski,0
Richard Huckle,0
Robert Lighthizer,0
Scott Morrison,0
Selina,0
Shamoon,1
Shane Legg ,1
Shaoxin Zhang,1
Stace Williams,1
Steve Wozniak,1
Steven Mnuchin,1
Sulilat,0
Tilda Swinton,1
Tim Culpan,0
Timo Boll,0
Travis Kalanick,1
Yves Maitre,0
facebook,0
jil ,1
  方儉,0
　佐臻,0
。莊,0
。黃,0
丁春誠,1
上帝,0
中大今早,1
九巴,0
二審今,0
于,0
于曉燕,1
于曉艷,1
于紀隆,1
亞獅康,0
亞里斯多德,0
今昔,0
任之恒,1
任家萱 Selina,1
伊沙,0
伊莉莎白二世,1
伸鹹,0
佐臻,0
何仲昌,1
何君堯,1
何啟聖,1
何培才,1
何宗原,1
何慶生,1
何文傑,1
何春盛,1
余信憲,1
余湘,0
余滄斌,1
余玟宏,1
余鎧,0
余鎧均,0
余陳月英,1
佩洛西,0
佳聯元朗門,0
佳龍,0
侯友宜,1
侯孝賢,1
俊丞俊,1
保羅‧索倫提諾,0
俠客島,0
修杰楷,1
偷楷油,0
傅子純,1
傅怡銘,1
傑志　,0
傑瑞德‧巴特勒,0
傑瑞米．羅森,1
克拉博,0
克莉絲汀娜,1
克莉絲緹娜．馬斯拉赫,1
克魯格,0
全度妍,0
凱丹,0
凱克維塔,1
判莊,0
判馬,0
判黃,0
前澤友,0
剛力彩芽,0
劉,0
劉上旗,1
劉中惠,1
劉和鑫,1
劉咸昌,1
劉國強,1
劉培文,1
劉奕發,1
劉姵呈,1
劉家榆,1
劉嵩,1
劉彥良,1
劉德音,1
劉志堅,1
劉揚偉,1
劉新正,1
劉昌松,1
劉明郎,1
劉曉明,1
劉祖學,1
劉邦恩,1
劉鶴,1
加拿大服飾 Lululemon ,0
努欽,0
勇智哥,0
匿名,0
千毅,0
卓,0
卓國華,1
卓永財,1
南安小熊,0
南海,1
卜大中,1
卡拉尼克,0
原任期,0
厲耿桂芳,1
台北法,0
台虎,0
史帝夫,1
史帝夫（Steve Wozniak,1
史葛（Lt. Col. Scott Applegate,0
史蒂文森,0
吉姆,0
吉姆・里奇堡,0
同意華,0
吳,0
吳京,0
吳京翰,1
吳佳蓉,1
吳傳輝,1
吳力人,1
吳勝利,1
吳宗憲,1
吳寶玉,1
吳尊,1
吳尚哲,1
吳德榮,1
吳忌寒,0
吳志超,1
吳忠穎,1
吳思瑤,1
吳怡昌,1
吳政穆,1
吳敦義,1
吳文,0
吳昇儒,1
吳昇峰,1
吳會,0
吳淑珍,1
吳清源,1
吳男,0
吳知山,1
吳祚綏,1
吳落網,0
吳薌薌,1
吳金虎,1
吳銀嵐,1
吳銘,1
吳長愷,1
呂,0
呂宗銘,1
呂潤財,1
呂男,0
呂男門崖,0
呂秀蓮,1
呂芳銘,1
周,0
周一亞股,0
周一凌晨,0
周于萱,1
周伯翰,1
周佳京,1
周倪安,1
周凱強,1
周勝成,1
周士榆,1
周天成,1
周宗賢,1
周少,1
周少。,0
周少才,1
周少約,1
周強,1
周曉蘭,1
周書玉,1
周杰倫,1
周榮宗,1
周男,0
周評,0
周賢清,1
周賢穎,1
周錫瑋,1
哈克特,0
哈利,0
唐建偉,1
唐玥,0
唐詠絮,1
商台,0
喬山,0
喬治歐威爾,0
噶舉,0
回義給,0
圖斯克,0
夏志豪,1
多西,0
大愷,0
大江,1
大田,0
奈良美智,1
奎德,0
奧恰洛夫,0
奧斯卡,1
姚淳耀,1
姜,0
威廉姆斯,0
孔,0
孔朝,1
孔繁仁,1
季爾,0
孫于珊,1
孫又文,1
孫嘉明,1
孫基康,0
孫悟天,0
孫悟空,0
孫正華,1
孫至賢,1
孫鍾宇,1
安一鳴,0
安倍,0
安倍晉三,0
安全糸統,0
安德魯,0
安迪．沃荷,0
宋,0
宋楚瑜,1
宏匯,0
宏捷科,1
宣昶,0
宣昶孔,1
寅今,0
寇延丁,1
富大埔,1
寧瑪,0
小燕姐,0
小英,0
尤榮輝,1
尹垣程,1
尹立,0
尼克森,0
岑子杰,1
崔培明,1
崔鵬,0
川,0
川崎宗則,1
川普,0
川普宣布,0
川普普,0
川習,0
巴菲特,0
布萊N,0
布萊德利庫柏,0
布蘭,0
布蘭斯塔德,0
希拉克,1
常玉,0
幸運星,0
庫德洛,0
庫德洛 ,0
康惟壤,1
康達智,1
廖,0
廖哲宏,1
廖女,0
廖妻,0
廖鴻輝,1
張,0
張世東,1
張乃芃,1
張修維,1
張傳章,1
張元賓,1
張克士,1
張克士力,1
張勇,1
張勝原,1
張勝富,1
張協昇,1
張博雅,1
張君豪,1
張善政,1
張夏準,1
張女,0
張妙苓,1
張安樂,1
張富滿,1
張少新,1
張岳博,1
張峻銘,1
張忠謀,1
張才,1
張承平,1
張振芳,1
張捷安,1
張文川,1
張景森,1
張書維,1
張東元,1
張浩維,1
張漢宜,1
張瑞楨,1
張瓊姿,1
張男,0
張男信,1
張登文,1
張秀蓮,1
張綱維,1
張美華,1
張聖,1
張虔輔,1
張雅琴,1
張雍川,1
張鷺,0
強森,0
彪彪,0
彭博巴克萊,0
彭德信,1
彭炫通,1
徐,0
徐女,0
徐宏杰,1
徐煒庠,1
徐男,0
徐立信,1
徐聖倫,1
徐藍科,1
徐詩彥,1
徐造華,1
徐霄菀,1
德拉吉,0
愉園　,0
應秀鳳,1
戎祥,0
戴,0
戴成霖,1
戴母,0
戴盛世,1
戴立忍,1
戴華錫,1
戴資穎,1
扁,0
拉加德,0
拉塔,0
拉瑪九世蒲美蓬,0
拜登,0
指阿輝,1
控告王,0
推特發文,0
摩根,0
故家欣,1
敖卓軒,1
文在,0
文在寅,1
文家英,1
文曄,0
新巴城巴,0
方,0
方仰寧,1
方少玉,1
施力瑋,1
施宣輝,1
施瓊華,1
施立成,1
施羅德,0
日川普,0
日彗,0
昆凌,1
昭輝,1
普爾,0
晶焱,1
曹,0
曹國,0
曹男,0
曼尼．拉米瑞茲,0
曾國偉,1
曾國城,1
曾文生,1
曾梓洋,1
曾棟樑,1
曾盛陽,1
曾盛麟,1
曾盛麟緩,1
曾美菁,1
朗白,0
朱,0
朱哲民,1
朱啟仁,1
朱立倫,1
李,0
李世乭,1
李世新,1
李佳峰,1
李佳芬,1
李信燕,1
李偉嘉,1
李健,0
李奉利,1
李妻,0
李婉鈺,1
李嫌,0
李孟謙,1
李宗洲,1
李寬量,1
李寶慧,1
李德,0
李惠仁,1
李政傑,1
李政昊,1
李文宏,1
李榮勝,1
李男,0
李發布,1
李維凱,1
李美玲,1
李翁,0
李翁嫌,1
李銘洲,1
李銘華,1
李雲霏,1
李鴻鈞,1
李黃錦燕,1
杜英宗,1
杭特,0
杰楷,0
東尼,0
東尼大木,0
東隆興,1
松本亞璃沙,0
林,0
林佳穎,1
林佳龍,1
林依成,1
林依晨,1
林信男,1
林冠傑,1
林冠百,1
林加祐,1
林勇任,1
林卓延,1
林右昌,1
林嘉東,1
林國成,1
林國豐,1
林女,0
林姿妙,1
林宜慧,1
林寶水,1
林崇傑,1
林幸蓉,1
林建良,1
林弘洲,1
林德福,1
林志潔,1
林志玲,1
林愈得,1
林政瑞,1
林文雄,1
林昀儒,1
林明君,1
林柏宏,1
林欣怡,1
林欣月,1
林毓棠,1
林清井,1
林瀚,1
林煜軒,1
林男,0
林睿君,1
林秉叡,1
林秋炭,1
林繼蘇,1
林義雄,1
林耿立,1
林聖傑,1
林聖智,1
林芸,1
林達,1
林邦傑,1
林鄭,0
林鄭月娥,1
林金燕,1
林銘宏,1
林銘寬,1
林長忠,1
林雅惠,1
柏原崇,1
柏文,0
柏森,0
查德·費曼,0
柯,0
柯P,0
柯嚴淳,1
柯媽,0
柯文哲,1
柯莎,0
柳喪彪,0
柴田英利,1
柾國,0
格撰文,0
格蘭奇克,0
格魯，漢,0
桂先農,0
桑柏格,0
梁,0
梁卓長,1
梁國雄,1
梁德強,1
梁振浩,1
梁振英,1
梁文隆,1
梁煥敏,1
梅努欽,0
梅努欽 ,0
梅根,0
梅菲瑟,0
梅驊,0
楊,0
楊世光,1
楊善淵,1
楊嘉仁,1
楊國文,1
楊大正,1
楊富巖,1
楊德昌,1
楊政郡,1
楊昇穎,1
楊時,0
楊書婷,1
楊正平,1
楊潤雄,1
楊烈,0
楊玠青,1
楊琳,1
楊茜婷,1
楊謹華,1
樊振東,1
樺漢,0
橫山一光,0
歐嘉保,0
歐嘉樂,1
歐炳辰,1
歐菲光,1
歐陽,0
歐陽大,0
武傑,1
段崇智,1
毛劍卿,1
毛美龍,1
水野美紀,1
江,0
江丙坤,1
江俊彥,1
江宏傑,1
江宜樺,1
江振義,1
江智詮,1
江智銓,1
江炳坤,1
江男,0
江興鍛,1
汪志冰,1
沃澤爾,0
沈君融,1
沈忱,0
沈秀玲,1
沈繼昌,1
沙田,0
